epoch,accuracy,loss
0,0.48406148,1.4136408910902738
1,0.49838448,1.375763681573403
2,0.50214314,1.3658524416705746
3,0.5040764,1.3605913824285205
4,0.5053481,1.3568417000801838
5,0.5064178,1.3539610906487833
6,0.5070828,1.3521448028519445
7,0.50800824,1.3506317269097818
8,0.5085503,1.3495847689093026
9,0.50884503,1.34862318869335
10,0.50909513,1.3477763315083398
11,0.5095114,1.3469406729188684
12,0.5094331,1.346852826859599
13,0.50978214,1.3465338344823563
14,0.5098261,1.3460935249211123
15,0.50994426,1.345731036790505
16,0.51006037,1.3461380082433063
17,0.5102383,1.345454937769396
18,0.51046777,1.3457177433606773
19,0.5103407,1.3459109665111952
20,0.51056325,1.3460191339922165
21,0.51059765,1.3454576239401568
22,0.51042587,1.34548619162565
23,0.51050484,1.3457401423644282
24,0.5104712,1.3457844598688862
